state,city,token,status,depots,count_est,count,time_est,time,date,ver,remarks
Oklahoma,Enid,enid,all,10,12,13,45,50,2023-09,1.48,
Oklahoma,Guymon,guymon,all,10,12,12,40,45,2023-10,1.48,
Oklahoma,Idabel,idabel,all,6,8,7,25,30,2023-08,1.48,
Oklahoma,Lawton,lawton,all,8,10,11,40,60,2023-10,1.48,
Oklahoma,McAlester,mcalester,all,9,11,11,40,40,2023-08,1.48,
Oklahoma,Oklahoma City,oklahoma_cit,all,13,15,16,50,70,2024-08,1.51,
Oklahoma,Tulsa,tulsa,all,11,13,11,40,50,2023-08,1.48,
Oklahoma,Woodward,woodward,all,8,10,10,35,25,2023-08,1.48,
Oregon,Astoria,astoria,all,7,9,9,30,40,2023-01,1.46,
Oregon,Bend,bend,,9,11,,40,,,,
Oregon,Burns,burns,,5,7,,25,,,,
Oregon,Coos Bay,coos_bay,,7,9,,30,,,,
Oregon,Eugene,eugene,,8,10,,35,,,,
Oregon,Klamath Falls,klamath_f,all,3,5,4,10,15,2022-12,1.46,
Oregon,Lakeview,lakeview,,5,7,,25,,,,
Oregon,Medford,medford,,11,13,,45,,,,
Oregon,Newport,newport,,8,10,,35,,,,
Oregon,Ontario,ontario,all,9,11,12,40,35,2022-12,1.46,
Oregon,Pendleton,pendleton,all,6,8,8,25,25,2023-02,1.46,
Oregon,Portland,portland,all,10,12,11,40,45,2022-12,1.46,
Oregon,Salem,salem,,7,9,,30,,,,
Oregon,The Dalles,the_dalles,,6,8,,25,,,,
Texas,Abilene,abilene,all,10,12,11,40,40,2024-02,1.49,
Texas,Amarillo,amarillo,all,13,15,14,50,70,2024-03,1.49,
Texas,Austin,austin,all,10,12,13,45,,2022-12,1.46,
Texas,Beaumont,beaumont,all,8,10,11,40,65,2023-07,1.48,
Texas,Brownsville,brownsville,all,9,11,11,40,30,2023-11,1.49,
Texas,Corpus Christi,corpus_chris,all,12,14,15,50,50,2023-01,1.46,
Texas,Dalhart,dalhart,all,5,7,6,20,30,2024-03,1.49,
Texas,Dallas,dallas,all,11,13,14,50,70,2023-11,1.49,
Texas,Del Rio,del_rio,all,7,9,9,30,30,2023-02,1.46,
Texas,El Paso,el_paso,all,7,9,8,25,35,2024-01,1.49,
Texas,Fort Stockton,fort_stockto,cleanup,8,10,9,30,20,2024-02,,IRL map
Texas,Fort Worth,fort_worth,all,11,13,10,35,50,2023-11,1.49,
Texas,Galveston,galveston,all,4,6,6,20,25,2022-12,1.46,
Texas,Houston,houston,all,8,10,12,40,65,2023-06,1.48,
Texas,Huntsville,huntsville,all,7,9,9,30,55,2023-11,1.49,
Texas,Junction,junction,all,7,9,9,30,30,2024-01,1.49,
Texas,Laredo,laredo,all,9,11,12,40,40,2023-07,1.48,
Texas,Longview,longview_tx,all,11,13,13,45,60,2023-02,1.46,
Texas,Lubbock,lubbock,all,14,16,14,50,65,2024-02,1.49,
Texas,Lufkin,lufkin,all,10,12,12,40,50,2023-11,1.49,
Texas,McAllen,mcallen,all,5,7,8,25,20,2023-11,1.49,
Texas,Odessa,odessa,cleanup,12,14,14,50,50,2024-02,,IRL map
Texas,San Angelo,san_angelo,cleanup,6,8,8,25,25,2024-01,,IRL map
Texas,San Antonio,san_antonio,all,14,16,16,55,90,2023-07,1.48,
Texas,Texarkana,texarkana,all,3,5,6,20,20,2023-09,1.48,
Texas,Tyler,tyler,all,8,10,10,35,35,2023-10,1.48,
Texas,Van Horn,van_horn,cleanup,6,8,7,25,15,2024-01,,IRL map
Texas,Victoria,victoria,all,11,13,13,45,65,2023-02,1.46,
Texas,Waco,waco,all,10,12,11,40,50,2023-11,1.49,
Texas,Wichita Falls,wichita_fall,all,7,9,7,25,45,2024-03,1.49,
Utah,Cedar City,cedar_city,all,7,9,7,25,25,2023-05,1.47,
Utah,Logan,logan,all,6,8,7,25,25,2023-02,1.46,
Utah,Moab,moab,all,8,10,12,40,40,2023-05,1.47,
Utah,Ogden,ogden,all,8,10,8,25,30,2023-04,1.47,
Utah,Price,price,cleanup,8,10,10,35,35,2023-04,1.47,IRL map
Utah,Provo,provo,all,6,8,8,25,30,2022-11,1.46,
Utah,Salina,salina,all,8,10,9,30,35,2022-12,1.46,
Utah,Salt Lake City,salt_lake,all,8,10,12,40,50,2023-05,1.47,
Utah,St. George,st_george,cleanup,5,7,9,30,20,2023-05,1.47,IRL map
Utah,Vernal,vernal,all,7,9,8,25,30,2023-05,1.47,
Washington,Aberdeen,aberdeen_wa,all,6,8,7,25,,2022-08,1.45,
Washington,Bellingham,bellingham,all,6,8,9,30,,2023-03,1.47,
Washington,Colville,colville,all,9,11,8,25,,2022-10,1.45,
Washington,Everett,everett,all,6,8,8,25,35,2022-10,1.45,
Washington,Grand Coulee,grand_coulee,all,4,6,5,15,,2022-10,1.45,
